"Plot Title: upr_fj_gage"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811665, SEN S/N: 9811665)","Temp, °C (LGR S/N: 9811665, SEN S/N: 9811665)","Coupler Detached (LGR S/N: 9811665)","Coupler Attached (LGR S/N: 9811665)","Stopped (LGR S/N: 9811665)","End Of File (LGR S/N: 9811665)"
1,10/06/11 11:15:00 AM,73774,13.846,Logged,,,
2,10/06/11 11:30:00 AM,77464,8.082,,,,
3,10/06/11 11:45:00 AM,77463,7.983,,,,
4,10/06/11 12:00:00 PM,77451,8.082,,,,
5,10/06/11 12:15:00 PM,77465,8.182,,,,
6,10/06/11 12:30:00 PM,77439,8.182,,,,
7,10/06/11 12:45:00 PM,77401,8.282,,,,
8,10/06/11 01:00:00 PM,77414,8.282,,,,
9,10/06/11 01:15:00 PM,77389,8.382,,,,
10,10/06/11 01:30:00 PM,77377,8.481,,,,
11,10/06/11 01:45:00 PM,77350,8.481,,,,
12,10/06/11 02:00:00 PM,77338,8.581,,,,
13,10/06/11 02:15:00 PM,77338,8.581,,,,
14,10/06/11 02:30:00 PM,77313,8.680,,,,
15,10/06/11 02:45:00 PM,77339,8.680,,,,
16,10/06/11 03:00:00 PM,77380,8.779,,,,
17,10/06/11 03:15:00 PM,77432,8.779,,,,
18,10/06/11 03:30:00 PM,77419,8.779,,,,
19,10/06/11 03:45:00 PM,77394,8.879,,,,
20,10/06/11 04:00:00 PM,77394,8.879,,,,
21,10/06/11 04:15:00 PM,77394,8.879,,,,
22,10/06/11 04:30:00 PM,77408,8.978,,,,
23,10/06/11 04:45:00 PM,77395,8.978,,,,
24,10/06/11 05:00:00 PM,77408,8.978,,,,
25,10/06/11 05:15:00 PM,77409,9.077,,,,
26,10/06/11 05:30:00 PM,77409,9.077,,,,
27,10/06/11 05:45:00 PM,77422,9.077,,,,
28,10/06/11 06:00:00 PM,77449,9.077,,,,
29,10/06/11 06:15:00 PM,77462,9.077,,,,
30,10/06/11 06:30:00 PM,77462,9.077,,,,
31,10/06/11 06:45:00 PM,77475,9.077,,,,
32,10/06/11 07:00:00 PM,77475,9.077,,,,
33,10/06/11 07:15:00 PM,77488,9.077,,,,
34,10/06/11 07:30:00 PM,77501,9.077,,,,
35,10/06/11 07:45:00 PM,77514,9.077,,,,
36,10/06/11 08:00:00 PM,77527,9.077,,,,
37,10/06/11 08:15:00 PM,77527,9.077,,,,
38,10/06/11 08:30:00 PM,77527,9.077,,,,
39,10/06/11 08:45:00 PM,77578,8.978,,,,
40,10/06/11 09:00:00 PM,77539,8.978,,,,
41,10/06/11 09:15:00 PM,77565,8.978,,,,
42,10/06/11 09:30:00 PM,77539,8.978,,,,
43,10/06/11 09:45:00 PM,77578,8.978,,,,
44,10/06/11 10:00:00 PM,77551,8.879,,,,
45,10/06/11 10:15:00 PM,77564,8.879,,,,
46,10/06/11 10:30:00 PM,77564,8.879,,,,
47,10/06/11 10:45:00 PM,77590,8.879,,,,
48,10/06/11 11:00:00 PM,77577,8.879,,,,
49,10/06/11 11:15:00 PM,77590,8.879,,,,
50,10/06/11 11:30:00 PM,77576,8.779,,,,
51,10/06/11 11:45:00 PM,77550,8.779,,,,
52,10/07/11 12:00:00 AM,77550,8.779,,,,
53,10/07/11 12:15:00 AM,77536,8.680,,,,
54,10/07/11 12:30:00 AM,77549,8.680,,,,
55,10/07/11 12:45:00 AM,77536,8.680,,,,
56,10/07/11 01:00:00 AM,77549,8.680,,,,
57,10/07/11 01:15:00 AM,77523,8.680,,,,
58,10/07/11 01:30:00 AM,77522,8.581,,,,
59,10/07/11 01:45:00 AM,77508,8.581,,,,
60,10/07/11 02:00:00 AM,77508,8.581,,,,
61,10/07/11 02:15:00 AM,77561,8.581,,,,
62,10/07/11 02:30:00 AM,77520,8.481,,,,
63,10/07/11 02:45:00 AM,77520,8.481,,,,
64,10/07/11 03:00:00 AM,77507,8.481,,,,
65,10/07/11 03:15:00 AM,77494,8.481,,,,
66,10/07/11 03:30:00 AM,77520,8.481,,,,
67,10/07/11 03:45:00 AM,77520,8.481,,,,
68,10/07/11 04:00:00 AM,77493,8.382,,,,
69,10/07/11 04:15:00 AM,77493,8.382,,,,
70,10/07/11 04:30:00 AM,77493,8.382,,,,
71,10/07/11 04:45:00 AM,77493,8.382,,,,
72,10/07/11 05:00:00 AM,77506,8.382,,,,
73,10/07/11 05:15:00 AM,77519,8.382,,,,
74,10/07/11 05:30:00 AM,77453,8.282,,,,
75,10/07/11 05:45:00 AM,77479,8.282,,,,
76,10/07/11 06:00:00 AM,77492,8.282,,,,
77,10/07/11 06:15:00 AM,77479,8.282,,,,
78,10/07/11 06:30:00 AM,77505,8.282,,,,
79,10/07/11 06:45:00 AM,77492,8.282,,,,
80,10/07/11 07:00:00 AM,77505,8.282,,,,
81,10/07/11 07:15:00 AM,77518,8.282,,,,
82,10/07/11 07:30:00 AM,77518,8.282,,,,
83,10/07/11 07:45:00 AM,77531,8.282,,,,
84,10/07/11 08:00:00 AM,77505,8.282,,,,
85,10/07/11 08:15:00 AM,77531,8.282,,,,
86,10/07/11 08:30:00 AM,77531,8.282,,,,
87,10/07/11 08:45:00 AM,77557,8.282,,,,
88,10/07/11 09:00:00 AM,77544,8.282,,,,
89,10/07/11 09:15:00 AM,77531,8.282,,,,
90,10/07/11 09:30:00 AM,77571,8.282,,,,
91,10/07/11 09:45:00 AM,77584,8.282,,,,
92,10/07/11 10:00:00 AM,77571,8.282,,,,
93,10/07/11 10:15:00 AM,77584,8.282,,,,
94,10/07/11 10:30:00 AM,77597,8.282,,,,
95,10/07/11 10:45:00 AM,77597,8.282,,,,
96,10/07/11 11:00:00 AM,77572,8.382,,,,
97,10/07/11 11:15:00 AM,77585,8.382,,,,
98,10/07/11 11:30:00 AM,77559,8.382,,,,
99,10/07/11 11:45:00 AM,77572,8.382,,,,
100,10/07/11 12:00:00 PM,77585,8.382,,,,
101,10/07/11 12:15:00 PM,77559,8.382,,,,
102,10/07/11 12:30:00 PM,77545,8.382,,,,
103,10/07/11 12:45:00 PM,77545,8.382,,,,
104,10/07/11 01:00:00 PM,77532,8.382,,,,
105,10/07/11 01:15:00 PM,77494,8.481,,,,
106,10/07/11 01:30:00 PM,77520,8.481,,,,
107,10/07/11 01:45:00 PM,77494,8.481,,,,
108,10/07/11 02:00:00 PM,77507,8.481,,,,
109,10/07/11 02:15:00 PM,77494,8.481,,,,
110,10/07/11 02:30:00 PM,77507,8.481,,,,
111,10/07/11 02:45:00 PM,77494,8.481,,,,
112,10/07/11 03:00:00 PM,77494,8.481,,,,
113,10/07/11 03:15:00 PM,77508,8.581,,,,
114,10/07/11 03:30:00 PM,77548,8.581,,,,
115,10/07/11 03:45:00 PM,77548,8.581,,,,
116,10/07/11 04:00:00 PM,77574,8.581,,,,
117,10/07/11 04:15:00 PM,77587,8.581,,,,
118,10/07/11 04:30:00 PM,77587,8.581,,,,
119,10/07/11 04:45:00 PM,77561,8.581,,,,
120,10/07/11 05:00:00 PM,77548,8.581,,,,
121,10/07/11 05:15:00 PM,77548,8.581,,,,
122,10/07/11 05:30:00 PM,77548,8.581,,,,
123,10/07/11 05:45:00 PM,77508,8.581,,,,
124,10/07/11 06:00:00 PM,77495,8.581,,,,
125,10/07/11 06:15:00 PM,77482,8.581,,,,
126,10/07/11 06:30:00 PM,77508,8.581,,,,
127,10/07/11 06:45:00 PM,77535,8.581,,,,
128,10/07/11 07:00:00 PM,77495,8.581,,,,
129,10/07/11 07:15:00 PM,77495,8.581,,,,
130,10/07/11 07:30:00 PM,77443,8.581,,,,
131,10/07/11 07:45:00 PM,77548,8.581,,,,
132,10/07/11 08:00:00 PM,77456,8.581,,,,
133,10/07/11 08:15:00 PM,77561,8.581,,,,
134,10/07/11 08:30:00 PM,77548,8.581,,,,
135,10/07/11 08:45:00 PM,77535,8.581,,,,
136,10/07/11 09:00:00 PM,77548,8.581,,,,
137,10/07/11 09:15:00 PM,77508,8.581,,,,
138,10/07/11 09:30:00 PM,77561,8.581,,,,
139,10/07/11 09:45:00 PM,77548,8.581,,,,
140,10/07/11 10:00:00 PM,77468,8.481,,,,
141,10/07/11 10:15:00 PM,77560,8.481,,,,
142,10/07/11 10:30:00 PM,77507,8.481,,,,
143,10/07/11 10:45:00 PM,77520,8.481,,,,
144,10/07/11 11:00:00 PM,77507,8.481,,,,
145,10/07/11 11:15:00 PM,77573,8.481,,,,
146,10/07/11 11:30:00 PM,77519,8.382,,,,
147,10/07/11 11:45:00 PM,77506,8.382,,,,
148,10/08/11 12:00:00 AM,77467,8.382,,,,
149,10/08/11 12:15:00 AM,77493,8.382,,,,
150,10/08/11 12:30:00 AM,77467,8.382,,,,
151,10/08/11 12:45:00 AM,77479,8.282,,,,
152,10/08/11 01:00:00 AM,77479,8.282,,,,
153,10/08/11 01:15:00 AM,77479,8.282,,,,
154,10/08/11 01:30:00 AM,77505,8.282,,,,
155,10/08/11 01:45:00 AM,77518,8.282,,,,
156,10/08/11 02:00:00 AM,77517,8.182,,,,
157,10/08/11 02:15:00 AM,77556,8.182,,,,
158,10/08/11 02:30:00 AM,77543,8.182,,,,
159,10/08/11 02:45:00 AM,77556,8.182,,,,
160,10/08/11 03:00:00 AM,77555,8.082,,,,
161,10/08/11 03:15:00 AM,77568,8.082,,,,
162,10/08/11 03:30:00 AM,77542,8.082,,,,
163,10/08/11 03:45:00 AM,77581,8.082,,,,
164,10/08/11 04:00:00 AM,77580,7.983,,,,
165,10/08/11 04:15:00 AM,77593,7.983,,,,
166,10/08/11 04:30:00 AM,77567,7.983,,,,
167,10/08/11 04:45:00 AM,77580,7.983,,,,
168,10/08/11 05:00:00 AM,77605,7.882,,,,
169,10/08/11 05:15:00 AM,77619,7.882,,,,
170,10/08/11 05:30:00 AM,77619,7.882,,,,
171,10/08/11 05:45:00 AM,77645,7.882,,,,
172,10/08/11 06:00:00 AM,77645,7.882,,,,
173,10/08/11 06:15:00 AM,77696,7.782,,,,
174,10/08/11 06:30:00 AM,77683,7.782,,,,
175,10/08/11 06:45:00 AM,77696,7.782,,,,
176,10/08/11 07:00:00 AM,77709,7.782,,,,
177,10/08/11 07:15:00 AM,77708,7.682,,,,
178,10/08/11 07:30:00 AM,77721,7.682,,,,
179,10/08/11 07:45:00 AM,77721,7.682,,,,
180,10/08/11 08:00:00 AM,77746,7.582,,,,
181,10/08/11 08:15:00 AM,77746,7.582,,,,
182,10/08/11 08:30:00 AM,77759,7.582,,,,
183,10/08/11 08:45:00 AM,77746,7.582,,,,
184,10/08/11 09:00:00 AM,77759,7.582,,,,
185,10/08/11 09:15:00 AM,77771,7.481,,,,
186,10/08/11 09:30:00 AM,77758,7.481,,,,
187,10/08/11 09:45:00 AM,77758,7.481,,,,
188,10/08/11 10:00:00 AM,77732,7.481,,,,
189,10/08/11 10:15:00 AM,77732,7.481,,,,
190,10/08/11 10:30:00 AM,77745,7.481,,,,
191,10/08/11 10:45:00 AM,77706,7.481,,,,
192,10/08/11 11:00:00 AM,77720,7.582,,,,
193,10/08/11 11:15:00 AM,77720,7.582,,,,
194,10/08/11 11:30:00 AM,77733,7.582,,,,
195,10/08/11 11:45:00 AM,77746,7.582,,,,
196,10/08/11 12:00:00 PM,77785,7.582,,,,
197,10/08/11 12:15:00 PM,77785,7.582,,,,
198,10/08/11 12:30:00 PM,77799,7.682,,,,
199,10/08/11 12:45:00 PM,77799,7.682,,,,
200,10/08/11 01:00:00 PM,77799,7.682,,,,
201,10/08/11 01:15:00 PM,77813,7.682,,,,
202,10/08/11 01:30:00 PM,77799,7.682,,,,
203,10/08/11 01:45:00 PM,77801,7.782,,,,
204,10/08/11 02:00:00 PM,77801,7.782,,,,
205,10/08/11 02:15:00 PM,77787,7.782,,,,
206,10/08/11 02:30:00 PM,77774,7.782,,,,
207,10/08/11 02:45:00 PM,77802,7.882,,,,
208,10/08/11 03:00:00 PM,77802,7.882,,,,
209,10/08/11 03:15:00 PM,77815,7.882,,,,
210,10/08/11 03:30:00 PM,77828,7.882,,,,
211,10/08/11 03:45:00 PM,77868,7.983,,,,
212,10/08/11 04:00:00 PM,77881,7.983,,,,
213,10/08/11 04:15:00 PM,77894,7.983,,,,
214,10/08/11 04:30:00 PM,77894,7.983,,,,
215,10/08/11 04:45:00 PM,77920,7.983,,,,
216,10/08/11 05:00:00 PM,77895,8.082,,,,
217,10/08/11 05:15:00 PM,77935,8.082,,,,
218,10/08/11 05:30:00 PM,77961,8.082,,,,
219,10/08/11 05:45:00 PM,77974,8.082,,,,
220,10/08/11 06:00:00 PM,77987,8.082,,,,
221,10/08/11 06:15:00 PM,77988,8.182,,,,
222,10/08/11 06:30:00 PM,77988,8.182,,,,
223,10/08/11 06:45:00 PM,77988,8.182,,,,
224,10/08/11 07:00:00 PM,78027,8.182,,,,
225,10/08/11 07:15:00 PM,78014,8.182,,,,
226,10/08/11 07:30:00 PM,78026,8.082,,,,
227,10/08/11 07:45:00 PM,78026,8.082,,,,
228,10/08/11 08:00:00 PM,78052,8.082,,,,
229,10/08/11 08:15:00 PM,78039,8.082,,,,
230,10/08/11 08:30:00 PM,78064,7.983,,,,
231,10/08/11 08:45:00 PM,78064,7.983,,,,
232,10/08/11 09:00:00 PM,78064,7.983,,,,
233,10/08/11 09:15:00 PM,78076,7.882,,,,
234,10/08/11 09:30:00 PM,78076,7.882,,,,
235,10/08/11 09:45:00 PM,78088,7.782,,,,
236,10/08/11 10:00:00 PM,78075,7.782,,,,
237,10/08/11 10:15:00 PM,78114,7.782,,,,
238,10/08/11 10:30:00 PM,78126,7.682,,,,
239,10/08/11 10:45:00 PM,78087,7.682,,,,
240,10/08/11 11:00:00 PM,78113,7.682,,,,
241,10/08/11 11:15:00 PM,78099,7.582,,,,
242,10/08/11 11:30:00 PM,78099,7.582,,,,
243,10/08/11 11:45:00 PM,78085,7.481,,,,
244,10/09/11 12:00:00 AM,78111,7.481,,,,
245,10/09/11 12:15:00 AM,78098,7.481,,,,
246,10/09/11 12:30:00 AM,78098,7.481,,,,
247,10/09/11 12:45:00 AM,78110,7.381,,,,
248,10/09/11 01:00:00 AM,78110,7.381,,,,
249,10/09/11 01:15:00 AM,78123,7.381,,,,
250,10/09/11 01:30:00 AM,78109,7.280,,,,
251,10/09/11 01:45:00 AM,78122,7.280,,,,
252,10/09/11 02:00:00 AM,78134,7.179,,,,
253,10/09/11 02:15:00 AM,78122,7.280,,,,
254,10/09/11 02:30:00 AM,78121,7.179,,,,
255,10/09/11 02:45:00 AM,78134,7.179,,,,
256,10/09/11 03:00:00 AM,78134,7.179,,,,
257,10/09/11 03:15:00 AM,78134,7.179,,,,
258,10/09/11 03:30:00 AM,78120,7.079,,,,
259,10/09/11 03:45:00 AM,78120,7.079,,,,
260,10/09/11 04:00:00 AM,78133,7.079,,,,
261,10/09/11 04:15:00 AM,78107,7.079,,,,
262,10/09/11 04:30:00 AM,78120,7.079,,,,
263,10/09/11 04:45:00 AM,78119,6.978,,,,
264,10/09/11 05:00:00 AM,78106,6.978,,,,
265,10/09/11 05:15:00 AM,78093,6.978,,,,
266,10/09/11 05:30:00 AM,78093,6.978,,,,
267,10/09/11 05:45:00 AM,78080,6.978,,,,
268,10/09/11 06:00:00 AM,78092,6.877,,,,
269,10/09/11 06:15:00 AM,78105,6.877,,,,
270,10/09/11 06:30:00 AM,78118,6.877,,,,
271,10/09/11 06:45:00 AM,78118,6.877,,,,
272,10/09/11 07:00:00 AM,78105,6.877,,,,
273,10/09/11 07:15:00 AM,78131,6.877,,,,
274,10/09/11 07:30:00 AM,78131,6.877,,,,
275,10/09/11 07:45:00 AM,78143,6.775,,,,
276,10/09/11 08:00:00 AM,78143,6.775,,,,
277,10/09/11 08:15:00 AM,78182,6.775,,,,
278,10/09/11 08:30:00 AM,78169,6.775,,,,
279,10/09/11 08:45:00 AM,78208,6.775,,,,
280,10/09/11 09:00:00 AM,78195,6.775,,,,
281,10/09/11 09:15:00 AM,78182,6.775,,,,
282,10/09/11 09:30:00 AM,78195,6.775,,,,
283,10/09/11 09:45:00 AM,78182,6.775,,,,
284,10/09/11 10:00:00 AM,78221,6.775,,,,
285,10/09/11 10:15:00 AM,78221,6.775,,,,
286,10/09/11 10:30:00 AM,78221,6.775,,,,
287,10/09/11 10:45:00 AM,78221,6.775,,,,
288,10/09/11 11:00:00 AM,78209,6.877,,,,
289,10/09/11 11:15:00 AM,78209,6.877,,,,
290,10/09/11 11:30:00 AM,78196,6.877,,,,
291,10/09/11 11:45:00 AM,78183,6.877,,,,
292,10/09/11 12:00:00 PM,78183,6.877,,,,
293,10/09/11 12:15:00 PM,78170,6.877,,,,
294,10/09/11 12:30:00 PM,78145,6.978,,,,
295,10/09/11 12:45:00 PM,78132,6.978,,,,
296,10/09/11 01:00:00 PM,78119,6.978,,,,
297,10/09/11 01:15:00 PM,78106,6.978,,,,
298,10/09/11 01:30:00 PM,78081,7.079,,,,
299,10/09/11 01:45:00 PM,78068,7.079,,,,
300,10/09/11 02:00:00 PM,78041,7.079,,,,
301,10/09/11 02:15:00 PM,78041,7.079,,,,
302,10/09/11 02:30:00 PM,78042,7.179,,,,
303,10/09/11 02:45:00 PM,78029,7.179,,,,
304,10/09/11 03:00:00 PM,78042,7.179,,,,
305,10/09/11 03:15:00 PM,78029,7.179,,,,
306,10/09/11 03:30:00 PM,78029,7.179,,,,
307,10/09/11 03:45:00 PM,78031,7.280,,,,
308,10/09/11 04:00:00 PM,78017,7.280,,,,
309,10/09/11 04:15:00 PM,78044,7.280,,,,
310,10/09/11 04:30:00 PM,78031,7.280,,,,
311,10/09/11 04:45:00 PM,78031,7.280,,,,
312,10/09/11 05:00:00 PM,78032,7.381,,,,
313,10/09/11 05:15:00 PM,78032,7.381,,,,
314,10/09/11 05:30:00 PM,78032,7.381,,,,
315,10/09/11 05:45:00 PM,78032,7.381,,,,
316,10/09/11 06:00:00 PM,78058,7.381,,,,
317,10/09/11 06:15:00 PM,78032,7.381,,,,
318,10/09/11 06:30:00 PM,78046,7.481,,,,
319,10/09/11 06:45:00 PM,78046,7.481,,,,
320,10/09/11 07:00:00 PM,78059,7.481,,,,
321,10/09/11 07:15:00 PM,78046,7.481,,,,
322,10/09/11 07:30:00 PM,78072,7.481,,,,
323,10/09/11 07:45:00 PM,78085,7.481,,,,
324,10/09/11 08:00:00 PM,78098,7.481,,,,
325,10/09/11 08:15:00 PM,78111,7.481,,,,
326,10/09/11 08:30:00 PM,78111,7.481,,,,
327,10/09/11 08:45:00 PM,78111,7.481,,,,
328,10/09/11 09:00:00 PM,78111,7.481,,,,
329,10/09/11 09:15:00 PM,78111,7.481,,,,
330,10/09/11 09:30:00 PM,78149,7.381,,,,
331,10/09/11 09:45:00 PM,78149,7.381,,,,
332,10/09/11 10:00:00 PM,78123,7.381,,,,
333,10/09/11 10:15:00 PM,78136,7.381,,,,
334,10/09/11 10:30:00 PM,78161,7.280,,,,
335,10/09/11 10:45:00 PM,78148,7.280,,,,
336,10/09/11 11:00:00 PM,78135,7.280,,,,
337,10/09/11 11:15:00 PM,78147,7.179,,,,
338,10/09/11 11:30:00 PM,78147,7.179,,,,
339,10/09/11 11:45:00 PM,78172,7.079,,,,
340,10/10/11 12:00:00 AM,78146,7.079,,,,
341,10/10/11 12:15:00 AM,78159,7.079,,,,
342,10/10/11 12:30:00 AM,78132,6.978,,,,
343,10/10/11 12:45:00 AM,78119,6.978,,,,
344,10/10/11 01:00:00 AM,78105,6.877,,,,
345,10/10/11 01:15:00 AM,78118,6.877,,,,
346,10/10/11 01:30:00 AM,78105,6.877,,,,
347,10/10/11 01:45:00 AM,78105,6.877,,,,
348,10/10/11 02:00:00 AM,78117,6.775,,,,
349,10/10/11 02:15:00 AM,78090,6.775,,,,
350,10/10/11 02:30:00 AM,78104,6.775,,,,
351,10/10/11 02:45:00 AM,78063,6.674,,,,
352,10/10/11 03:00:00 AM,78050,6.674,,,,
353,10/10/11 03:15:00 AM,78063,6.674,,,,
354,10/10/11 03:30:00 AM,78062,6.573,,,,
355,10/10/11 03:45:00 AM,78062,6.573,,,,
356,10/10/11 04:00:00 AM,78049,6.573,,,,
357,10/10/11 04:15:00 AM,78049,6.573,,,,
358,10/10/11 04:30:00 AM,78048,6.471,,,,
359,10/10/11 04:45:00 AM,78061,6.471,,,,
360,10/10/11 05:00:00 AM,78048,6.471,,,,
361,10/10/11 05:15:00 AM,78047,6.370,,,,
362,10/10/11 05:30:00 AM,78034,6.370,,,,
363,10/10/11 05:45:00 AM,78033,6.268,,,,
364,10/10/11 06:00:00 AM,78033,6.268,,,,
365,10/10/11 06:15:00 AM,78046,6.268,,,,
366,10/10/11 06:30:00 AM,78046,6.268,,,,
367,10/10/11 06:45:00 AM,78059,6.268,,,,
368,10/10/11 07:00:00 AM,78058,6.166,,,,
369,10/10/11 07:15:00 AM,78058,6.166,,,,
370,10/10/11 07:30:00 AM,78071,6.166,,,,
371,10/10/11 07:45:00 AM,78057,6.064,,,,
372,10/10/11 08:00:00 AM,78057,6.064,,,,
373,10/10/11 08:15:00 AM,78070,6.064,,,,
374,10/10/11 08:30:00 AM,78096,6.064,,,,
375,10/10/11 08:45:00 AM,78070,6.064,,,,
376,10/10/11 09:00:00 AM,78070,6.064,,,,
377,10/10/11 09:15:00 AM,78083,6.064,,,,
378,10/10/11 09:30:00 AM,78070,6.064,,,,
379,10/10/11 09:45:00 AM,78083,6.064,,,,
380,10/10/11 10:00:00 AM,78057,6.064,,,,
381,10/10/11 10:15:00 AM,78083,6.064,,,,
382,10/10/11 10:30:00 AM,78057,6.064,,,,
383,10/10/11 10:45:00 AM,78058,6.166,,,,
384,10/10/11 11:00:00 AM,78032,6.166,,,,
385,10/10/11 11:15:00 AM,78045,6.166,,,,
386,10/10/11 11:30:00 AM,78019,6.166,,,,
387,10/10/11 11:45:00 AM,78006,6.166,,,,
388,10/10/11 12:00:00 PM,77993,6.166,,,,
389,10/10/11 12:15:00 PM,77979,6.166,,,,
390,10/10/11 12:30:00 PM,77967,6.268,,,,
391,10/10/11 12:45:00 PM,77967,6.268,,,,
392,10/10/11 01:00:00 PM,77967,6.268,,,,
393,10/10/11 01:15:00 PM,77941,6.268,,,,
394,10/10/11 01:30:00 PM,77902,6.268,,,,
395,10/10/11 01:45:00 PM,77890,6.370,,,,
396,10/10/11 02:00:00 PM,77890,6.370,,,,
397,10/10/11 02:15:00 PM,77864,6.370,,,,
398,10/10/11 02:30:00 PM,77864,6.370,,,,
399,10/10/11 02:45:00 PM,77826,6.471,,,,
400,10/10/11 03:00:00 PM,77839,6.471,,,,
401,10/10/11 03:15:00 PM,77839,6.471,,,,
402,10/10/11 03:30:00 PM,77839,6.471,,,,
403,10/10/11 03:45:00 PM,77866,6.573,,,,
404,10/10/11 04:00:00 PM,77853,6.573,,,,
405,10/10/11 04:15:00 PM,77840,6.573,,,,
406,10/10/11 04:30:00 PM,77853,6.573,,,,
407,10/10/11 04:45:00 PM,77866,6.573,,,,
408,10/10/11 05:00:00 PM,77828,6.674,,,,
409,10/10/11 05:15:00 PM,77854,6.674,,,,
410,10/10/11 05:30:00 PM,77828,6.674,,,,
411,10/10/11 05:45:00 PM,77828,6.674,,,,
412,10/10/11 06:00:00 PM,77841,6.674,,,,
413,10/10/11 06:15:00 PM,77855,6.775,,,,
414,10/10/11 06:30:00 PM,77868,6.775,,,,
415,10/10/11 06:45:00 PM,77855,6.775,,,,
416,10/10/11 07:00:00 PM,77842,6.775,,,,
417,10/10/11 07:15:00 PM,77856,6.877,,,,
418,10/10/11 07:30:00 PM,77882,6.877,,,,
419,10/10/11 07:45:00 PM,77869,6.877,,,,
420,10/10/11 08:00:00 PM,77882,6.877,,,,
421,10/10/11 08:15:00 PM,77882,6.877,,,,
422,10/10/11 08:30:00 PM,77895,6.877,,,,
423,10/10/11 08:45:00 PM,77910,6.978,,,,
424,10/10/11 09:00:00 PM,77910,6.978,,,,
425,10/10/11 09:15:00 PM,77910,6.978,,,,
426,10/10/11 09:30:00 PM,77897,6.978,,,,
427,10/10/11 09:45:00 PM,77883,6.978,,,,
428,10/10/11 10:00:00 PM,77870,6.978,,,,
429,10/10/11 10:15:00 PM,77883,6.978,,,,
430,10/10/11 10:30:00 PM,77870,6.978,,,,
431,10/10/11 10:45:00 PM,77869,6.877,,,,
432,10/10/11 11:00:00 PM,77869,6.877,,,,
433,10/10/11 11:15:00 PM,77856,6.877,,,,
434,10/10/11 11:30:00 PM,77868,6.775,,,,
435,10/10/11 11:45:00 PM,77842,6.775,,,,
436,10/11/11 12:00:00 AM,77829,6.775,,,,
437,10/11/11 12:15:00 AM,77841,6.674,,,,
438,10/11/11 12:30:00 AM,77841,6.674,,,,
439,10/11/11 12:45:00 AM,77815,6.674,,,,
440,10/11/11 01:00:00 AM,77828,6.674,,,,
441,10/11/11 01:15:00 AM,77814,6.573,,,,
442,10/11/11 01:30:00 AM,77801,6.573,,,,
443,10/11/11 01:45:00 AM,77814,6.573,,,,
444,10/11/11 02:00:00 AM,77814,6.573,,,,
445,10/11/11 02:15:00 AM,77788,6.573,,,,
446,10/11/11 02:30:00 AM,77787,6.471,,,,
447,10/11/11 02:45:00 AM,77787,6.471,,,,
448,10/11/11 03:00:00 AM,77785,6.370,,,,
449,10/11/11 03:15:00 AM,77746,6.370,,,,
450,10/11/11 03:30:00 AM,77772,6.370,,,,
451,10/11/11 03:45:00 AM,77759,6.370,,,,
452,10/11/11 04:00:00 AM,77758,6.268,,,,
453,10/11/11 04:15:00 AM,77745,6.268,,,,
454,10/11/11 04:30:00 AM,77732,6.268,,,,
455,10/11/11 04:45:00 AM,77758,6.268,,,,
456,10/11/11 05:00:00 AM,77718,6.166,,,,
457,10/11/11 05:15:00 AM,77705,6.166,,,,
458,10/11/11 05:30:00 AM,77731,6.166,,,,
459,10/11/11 05:45:00 AM,77717,6.064,,,,
460,10/11/11 06:00:00 AM,77717,6.064,,,,
461,10/11/11 06:15:00 AM,77691,6.064,,,,
462,10/11/11 06:30:00 AM,77704,6.064,,,,
463,10/11/11 06:45:00 AM,77730,6.064,,,,
464,10/11/11 07:00:00 AM,77691,6.064,,,,
465,10/11/11 07:15:00 AM,77690,5.962,,,,
466,10/11/11 07:30:00 AM,77703,5.962,,,,
467,10/11/11 07:45:00 AM,77716,5.962,,,,
468,10/11/11 08:00:00 AM,77690,5.962,,,,
469,10/11/11 08:15:00 AM,77715,5.860,,,,
470,10/11/11 08:30:00 AM,77689,5.860,,,,
471,10/11/11 08:45:00 AM,77702,5.860,,,,
472,10/11/11 09:00:00 AM,77703,5.962,,,,
473,10/11/11 09:15:00 AM,77716,5.962,,,,
474,10/11/11 09:30:00 AM,77703,5.962,,,,
475,10/11/11 09:45:00 AM,77729,5.962,,,,
476,10/11/11 10:00:00 AM,77729,5.962,,,,
477,10/11/11 10:15:00 AM,77729,5.962,,,,
478,10/11/11 10:30:00 AM,77742,5.962,,,,
479,10/11/11 10:45:00 AM,77729,5.962,,,,
480,10/11/11 11:00:00 AM,77729,5.962,,,,
481,10/11/11 11:15:00 AM,77703,5.962,,,,
482,10/11/11 11:30:00 AM,77703,5.962,,,,
483,10/11/11 11:45:00 AM,77678,6.064,,,,
484,10/11/11 12:00:00 PM,77678,6.064,,,,
485,10/11/11 12:15:00 PM,77652,6.064,,,,
486,10/11/11 12:30:00 PM,77652,6.064,,,,
487,10/11/11 12:45:00 PM,77639,6.064,,,,
488,10/11/11 01:00:00 PM,77652,6.064,,,,
489,10/11/11 01:15:00 PM,77625,6.064,,,,
490,10/11/11 01:30:00 PM,77613,6.166,,,,
491,10/11/11 01:45:00 PM,77600,6.166,,,,
492,10/11/11 02:00:00 PM,77600,6.166,,,,
493,10/11/11 02:15:00 PM,77613,6.166,,,,
